[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.462Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-37.27--: usdQtyUnit = 0.1815, qty = 4.869868527, Data asli baris: undefined
[2025-05-22T09:27:20.463Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-37.18--: usdQtyUnit = 0.1805, qty = 4.854760624, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 476.16, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 476.16, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 3571.2, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 416.64, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 119.04, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 3075.2, Data asli baris: undefined
[2025-05-22T09:27:20.471Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-44--: usdQtyUnit = 2648, qty = 735.7, Data asli baris: undefined
[2025-05-22T09:27:20.482Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-31--: usdQtyUnit = 1.1111, qty = 35.84193548, Data asli baris: undefined
[2025-05-22T09:27:20.482Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-31--: usdQtyUnit = 1.1111, qty = 35.84193548, Data asli baris: undefined
[2025-05-22T09:27:20.489Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-27--: usdQtyUnit = 1.65, qty = 3138, Data asli baris: undefined
[2025-05-22T09:27:20.489Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-27--: usdQtyUnit = 1.65, qty = 3138, Data asli baris: undefined
[2025-05-22T09:27:20.491Z] [DEBUG]: Input untuk Feb-56031200-SB-40-Coated Laminated: usdQtyUnit = 0.0648, qty = 1.62, Data asli baris: undefined
[2025-05-22T09:27:20.491Z] [DEBUG]: Input untuk Feb-56031200-SB-40-Coated Laminated: usdQtyUnit = 0.0648, qty = 1.62, Data asli baris: undefined
[2025-05-22T09:27:20.491Z] [DEBUG]: Input untuk Feb-56031200-SB-40-Coated Laminated: usdQtyUnit = 0.0648, qty = 1.62, Data asli baris: undefined
[2025-05-22T09:27:20.491Z] [DEBUG]: Input untuk Feb-56031200-SB-40-Coated Laminated: usdQtyUnit = 0.0648, qty = 1.62, Data asli baris: undefined
[2025-05-22T09:27:20.499Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-White: usdQtyUnit = 162, qty = 3.24, Data asli baris: undefined
[2025-05-22T09:27:20.499Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40-White: usdQtyUnit = 0.1141, qty = 2.8525, Data asli baris: undefined
[2025-05-22T09:27:20.499Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-White: usdQtyUnit = 162, qty = 3.24, Data asli baris: undefined
[2025-05-22T09:27:20.499Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40-White: usdQtyUnit = 0.1141, qty = 2.8525, Data asli baris: undefined
[2025-05-22T09:27:20.501Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40-Film: usdQtyUnit = 0.1141, qty = 2.8525, Data asli baris: undefined
[2025-05-22T09:27:20.501Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40-Film: usdQtyUnit = 0.1141, qty = 2.8525, Data asli baris: undefined
[2025-05-22T09:27:20.503Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-48-White: usdQtyUnit = 0.0343, qty = 0.036179529, Data asli baris: undefined
[2025-05-22T09:27:20.510Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-65--: usdQtyUnit = 15515, qty = 2.953846154, Data asli baris: undefined
[2025-05-22T09:27:20.517Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Impregnated: usdQtyUnit = 0.2, qty = 0.047839602, Data asli baris: undefined
[2025-05-22T09:27:20.517Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Impregnated: usdQtyUnit = 0.2, qty = 0.047839602, Data asli baris: undefined
[2025-05-22T09:27:20.517Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-27-Coated Impregnated: usdQtyUnit = 0.2, qty = 0.072484245, Data asli baris: undefined
[2025-05-22T09:27:20.522Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-35--: usdQtyUnit = 0.4, qty = 0.114285714, Data asli baris: undefined
[2025-05-22T09:27:20.522Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-35--: usdQtyUnit = 0.03, qty = 0.22556391, Data asli baris: undefined
[2025-05-22T09:27:20.522Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-35--: usdQtyUnit = 0.4, qty = 0.114285714, Data asli baris: undefined
[2025-05-22T09:27:20.526Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40--: usdQtyUnit = 0.1158, qty = 0.02895, Data asli baris: undefined
[2025-05-22T09:27:20.534Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-29.83-White: usdQtyUnit = 0.24, qty = 0.053637278, Data asli baris: undefined
[2025-05-22T09:27:20.534Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-29.83-White: usdQtyUnit = 0.24, qty = 0.053637278, Data asli baris: undefined
[2025-05-22T09:27:20.534Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-29.83-White: usdQtyUnit = 0.24, qty = 0.053637278, Data asli baris: undefined
[2025-05-22T09:27:20.535Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-29.83-White: usdQtyUnit = 0.24, qty = 0.053637278, Data asli baris: undefined
[2025-05-22T09:27:20.535Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-29.83-White: usdQtyUnit = 0.24, qty = 0.053637278, Data asli baris: undefined
[2025-05-22T09:27:20.568Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-55-Coated Laminated: usdQtyUnit = 0.0972, qty = 1.767272727, Data asli baris: undefined
[2025-05-22T09:27:20.568Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-55-Coated Laminated: usdQtyUnit = 0.0972, qty = 1.767272727, Data asli baris: undefined
[2025-05-22T09:27:20.568Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.568Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.568Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-55-Coated Laminated: usdQtyUnit = 0.0972, qty = 1.767272727, Data asli baris: undefined
[2025-05-22T09:27:20.568Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-55-Coated Laminated: usdQtyUnit = 0.0972, qty = 1.767272727, Data asli baris: undefined
[2025-05-22T09:27:20.568Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.569Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.569Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.569Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.569Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.569Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.569Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.569Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.569Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.570Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.570Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50-Coated Laminated: usdQtyUnit = 0.0961, qty = 1922, Data asli baris: undefined
[2025-05-22T09:27:20.578Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.28, qty = 9959, Data asli baris: undefined
[2025-05-22T09:27:20.578Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.29, qty = 14637, Data asli baris: undefined
[2025-05-22T09:27:20.578Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.28, qty = 9959, Data asli baris: undefined
[2025-05-22T09:27:20.578Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.29, qty = 14637, Data asli baris: undefined
[2025-05-22T09:27:20.578Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.29, qty = 19812, Data asli baris: undefined
[2025-05-22T09:27:20.579Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.28, qty = 5171, Data asli baris: undefined
[2025-05-22T09:27:20.579Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.29, qty = 19812, Data asli baris: undefined
[2025-05-22T09:27:20.579Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.28, qty = 5171, Data asli baris: undefined
[2025-05-22T09:27:20.579Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.29, qty = 19812, Data asli baris: undefined
[2025-05-22T09:27:20.579Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.28, qty = 5171, Data asli baris: undefined
[2025-05-22T09:27:20.579Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.29, qty = 19812, Data asli baris: undefined
[2025-05-22T09:27:20.579Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.3-Coated Impregnated Laminated White: usdQtyUnit = 1.28, qty = 5171, Data asli baris: undefined
[2025-05-22T09:27:20.590Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-47-Coated Laminated: usdQtyUnit = 0.0987, qty = 2.1, Data asli baris: undefined
[2025-05-22T09:27:20.591Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-47-Coated Laminated: usdQtyUnit = 0.0987, qty = 2.1, Data asli baris: undefined
[2025-05-22T09:27:20.591Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-47-Coated Laminated: usdQtyUnit = 0.0987, qty = 2.1, Data asli baris: undefined
[2025-05-22T09:27:20.591Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-47-Coated Laminated: usdQtyUnit = 0.0987, qty = 2.1, Data asli baris: undefined
[2025-05-22T09:27:20.592Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-55-Coated Laminated: usdQtyUnit = 0.2358, qty = 4.287272727, Data asli baris: undefined
[2025-05-22T09:27:20.592Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-47-Coated Laminated: usdQtyUnit = 0.1015, qty = 2.159574468, Data asli baris: undefined
[2025-05-22T09:27:20.592Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70-Coated: usdQtyUnit = 0.2748, qty = 0.029296375, Data asli baris: undefined
[2025-05-22T09:27:20.592Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70-Coated: usdQtyUnit = 0.2748, qty = 0.029296375, Data asli baris: undefined
[2025-05-22T09:27:20.611Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-41--: usdQtyUnit = 281, qty = 0.068536585, Data asli baris: undefined
[2025-05-22T09:27:20.611Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-41--: usdQtyUnit = 281, qty = 0.068536585, Data asli baris: undefined
[2025-05-22T09:27:20.614Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70-Coated Impregnated: usdQtyUnit = 0.78, qty = 11.14285714, Data asli baris: undefined
[2025-05-22T09:27:20.614Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70-Coated Impregnated: usdQtyUnit = 0.6667, qty = 9.524285714, Data asli baris: undefined
[2025-05-22T09:27:20.618Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62.6-Antibacterial Coated: usdQtyUnit = 2638, qty = 42.14057508, Data asli baris: undefined
[2025-05-22T09:27:20.618Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62.6-Antibacterial Coated: usdQtyUnit = 2638, qty = 42.14057508, Data asli baris: undefined
[2025-05-22T09:27:20.619Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62.6-Antibacterial Coated: usdQtyUnit = 2638, qty = 42.14057508, Data asli baris: undefined
[2025-05-22T09:27:20.619Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62.6-Antibacterial Coated: usdQtyUnit = 2638, qty = 42.14057508, Data asli baris: undefined
[2025-05-22T09:27:20.629Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-25--: usdQtyUnit = 3.3848, qty = 2362.3, Data asli baris: undefined
[2025-05-22T09:27:20.629Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-25--: usdQtyUnit = 3.3848, qty = 2362.3, Data asli baris: undefined
[2025-05-22T09:27:20.631Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-30-Adhesive White: usdQtyUnit = 0.16, qty = 0.057407522, Data asli baris: undefined
[2025-05-22T09:27:20.635Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1533, qty = 21, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 3.3188, qty = 24, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 1063, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 17, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 565, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 97, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 382, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1533, qty = 18, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 100, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1538, qty = 16, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 96, Data asli baris: undefined
[2025-05-22T09:27:20.636Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 75, Data asli baris: undefined
[2025-05-22T09:27:20.637Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 352, Data asli baris: undefined
[2025-05-22T09:27:20.637Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 423, Data asli baris: undefined
[2025-05-22T09:27:20.637Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 3.3189, qty = 82, Data asli baris: undefined
[2025-05-22T09:27:20.637Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 1207, Data asli baris: undefined
[2025-05-22T09:27:20.637Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 78, Data asli baris: undefined
[2025-05-22T09:27:20.637Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-52.2--: usdQtyUnit = 2.1535, qty = 258, Data asli baris: undefined
[2025-05-22T09:27:20.640Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-41.6-Coated Laminated: usdQtyUnit = 5.86, qty = 7.211538462, Data asli baris: undefined
[2025-05-22T09:27:20.640Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-65-White: usdQtyUnit = 1.8, qty = 2751, Data asli baris: undefined
[2025-05-22T09:27:20.641Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-65-Green: usdQtyUnit = 2, qty = 456, Data asli baris: undefined
[2025-05-22T09:27:20.641Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-65-White: usdQtyUnit = 1.8, qty = 2751, Data asli baris: undefined
[2025-05-22T09:27:20.641Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-65-Green: usdQtyUnit = 2, qty = 456, Data asli baris: undefined
[2025-05-22T09:27:20.648Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-55-Mesh: usdQtyUnit = 0.4851, qty = 8.82, Data asli baris: undefined
[2025-05-22T09:27:20.658Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-53.45--: usdQtyUnit = 0.3758, qty = 0.046872466, Data asli baris: undefined
[2025-05-22T09:27:20.658Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-53.45--: usdQtyUnit = 0.9583, qty = 0.119526037, Data asli baris: undefined
[2025-05-22T09:27:20.658Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-39.37--: usdQtyUnit = 0.6435, qty = 0.108966218, Data asli baris: undefined
[2025-05-22T09:27:20.658Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-53.45--: usdQtyUnit = 0.3758, qty = 0.046872466, Data asli baris: undefined
